Gene	Patient06_BM	Patient06_CNS	Patient07_BM	Patient07_CNS	Patient08_BM	Patient08_CNS
PADI4	0	2	0	0	0	0
PADI6	0	0	0	0	0	1
RCC2	768	435	713	476	703	494
ARHGEF10L	17	4	3	29	2	60
IGSF21	0	4	3	0	4	0
KLHDC7A	3	7	0	43	0	92
ALDH4A1	3	0	1	0	0	1
IFFO2	159	92	143	104	140	110
UBR4	1301	1597	1125	1901	1094	2046
EMC1	1341	1108	1036	1509	987	1721
MRTO4	7	16	18	5	21	3
AKR7L	1	0	0	0	0	2
AKR7A3	0	1	0	0	0	0
LOC100506730	0	0	0	0	0	0
AKR7A2	1	0	0	2	0	5
PQLC2	1	1	1	2	0	3
CAPZB	168	117	223	83	235	72
MINOS1	95	92	235	31	279	19
RPS14P3	0	0	0	0	0	0
NBL1	1	1	1	0	1	0
HTR6	0	1	0	2	0	3
TMCO4	1	1	0	3	0	3
OTUD3	77	39	59	54	56	61
PLA2G2D	0	0	0	0	0	0
PLA2G2F	1	1	1	0	1	0
UBXN10-AS1	0	0	0	0	0	0
UBXN10	5	2	4	3	3	3
CAMK2N1	0	0	0	1	0	2
MUL1	58	30	53	33	52	34
FAM43B	0	0	0	0	0	1
CDA	0	1	0	0	0	0
PINK1	12	2	2	14	1	32
PINK1-AS	1	6	3	1	4	1
DDOST	1683	2060	1342	2702	1285	3032
KIF17	4	17	8	7	9	5
HP1BP3	1288	765	842	1274	777	1582
EIF4G3	2227	2036	2615	1680	2696	1548
ECE1	0	7	1	2	1	1
LOC100506801	0	101	2	18	3	8
NBPF3	5	8	4	12	3	14
ALPL	0	0	0	0	0	0
RAP1GAP	11	2	20	1	23	0
USP48	27	13	8	52	6	93
LDLRAD2	0	1	0	0	0	0
HSPG2	7	1	2	8	1	16
CELA3A	0	0	0	0	0	0
LOC101928043	1	0	0	0	0	1
LINC00339	3	2	4	1	4	1
CDC42	4897	1879	5956	1486	6182	1345
WNT4	2	12	2	12	2	12
ZBTB40	1946	3481	2409	2695	2509	2417
C1QA	0	2	0	1	0	1
C1QC	0	7	0	1	0	0
C1QB	0	3	0	0	0	0
EPHB2	1	1	1	0	1	0
C1orf234	0	0	0	0	0	0
KDM1A	519	307	269	677	237	947
MIR3115	3	1	1	3	1	5
MIR4419A	1	0	0	0	0	0
LUZP1	406	394	425	372	429	363
HTR1D	1	1	1	0	1	0
LINC01355	0	37	3	3	5	1
HNRNPR	2554	1207	2116	1513	2041	1665
ZNF436	0	0	0	0	0	1
ZNF436-AS1	0	1	0	1	0	0
TCEA3	0	2	0	1	0	0
ASAP3	239	62	41	513	29	1252
E2F2	2045	365	1620	483	1549	544
LOC101928163	1	2	1	3	1	3
ID3	930	533	391	1506	332	2340
MDS2	17	29	67	5	86	2
RPL11	2825	1229	2956	1164	2982	1137
TCEB3	393	567	344	666	335	713
TCEB3-AS1	3	0	1	1	0	3
PITHD1	70	35	102	22	110	18
LYPLA2	179	153	173	159	172	161
GALE	0	0	0	0	0	1
HMGCL	39	43	72	21	81	15
FUCA1	196	60	103	129	91	178
CNR2	2871	3629	1564	7519	1392	10249
PNRC2	1035	530	1329	393	1394	345
SRSF10	68	53	90	38	95	33
MYOM3	1	1	2	1	2	0
IL22RA1	3	0	0	2	0	4
IFNLR1	24	23	15	41	13	53
GRHL3	1	1	1	0	2	0
STPG1	139	40	157	35	160	32
NIPAL3	38	30	44	25	45	23
RCAN3AS	0	0	0	0	0	0
RCAN3	34	16	19	31	17	41
LOC100506985	6	2	7	2	7	1
NCMAP	0	0	0	0	0	0
SRRM1	3117	2040	3829	1594	3982	1435
CLIC4	15	6	18	4	19	4
RUNX3	76	1449	105	994	111	847
MIR4425	0	0	0	1	0	2
SYF2	74	49	129	25	143	19
RSRP1	409	3227	867	1310	1001	893
RHD	102	1140	551	151	760	64
TMEM50A	810	475	798	484	795	488
RHCE	10	0	8	1	7	1
TMEM57	165	105	253	63	275	50
LDLRAP1	74	29	12	237	9	573
MAN1C1	1	1	0	1	0	2
SEPN1	256	78	190	112	180	131
MTFR1L	515	345	382	493	361	574
LOC646471	46	702	60	515	63	452
AUNIP	1	0	0	0	0	0
PAQR7	27	55	97	11	124	6
STMN1	1448	890	1880	651	1976	570
PAFAH2	14	29	35	9	42	6
EXTL1	1	1	2	1	2	0
SLC30A2	1	1	1	0	1	0
PDIK1L	6	3	4	4	4	5
ZNF593	1	0	0	1	0	2
CNKSR1	0	1	0	0	0	0
CEP85	15	3	9	6	8	8
SH3BGRL3	4146	2017	5903	1320	6314	1103
UBXN11	77	56	31	165	26	262
CD52	1756	3640	2244	2713	2352	2394
AIM1L	8	23	4	44	4	59
ZNF683	12	78	17	54	18	46
LIN28A	0	1	0	0	0	0
DHDDS	2758	3704	4902	1858	5470	1386
LOC101928324	1	16	2	11	2	9
HMGN2	5717	1839	4253	2622	4019	3049
RPS6KA1	1782	1170	694	3626	579	5864
ARID1A	2890	3012	4007	2035	4265	1723
PIGV	18	16	15	20	15	21
ZDHHC18	36	88	16	217	14	317
GPN2	2	3	1	7	0	9
GPATCH3	25	6	5	41	4	87
NUDC	329	157	276	195	266	213
KDF1	0	0	0	2	0	3
TRNP1	3	4	6	1	7	1
FAM46B	1	1	1	0	1	0
SLC9A1	0	0	0	1	0	2
WDTC1	348	221	407	183	419	169
TMEM222	125	264	182	168	196	139
ACTG1P20	0	0	0	2	0	4
SYTL1	91	493	66	717	62	841
MAP3K6	1	0	0	3	0	5
FCN3	0	1	0	6	0	11
CD164L2	0	0	0	2	0	4
GPR3	16	4	8	11	7	16
WASF2	7668	5332	8700	4583	8912	4297
AHDC1	385	169	189	398	165	571
FGR	29	137	68	51	79	33
IFI6	918	1046	1710	496	1925	361
FAM76A	8	15	17	6	19	4
STX12	378	201	470	154	490	138
PPP1R8	686	229	583	278	566	302
SCARNA1	1	0	0	0	0	0
THEMIS2	203	325	97	787	84	1146
RPA2	552	1119	629	957	644	896
SMPDL3B	1	0	0	3	0	5
XKR8	1	1	0	2	0	3
EYA3	581	2005	2163	414	2778	212
PTAFR	0	1	0	1	0	1
DNAJC8	264	230	447	122	494	93
ATPIF1	191	345	250	250	263	218
SESN2	2	0	0	5	0	20
MED18	3	1	1	4	1	5
PHACTR4	443	398	428	415	425	423
SNHG3	4117	1335	5533	936	5854	805
RCC1	84	111	128	67	139	54
SNORA73B	98	18	56	37	50	49
TRNAU1AP	23	51	29	38	31	33
SNHG12	5	12	11	5	12	3
SNORD99	18	3	17	4	16	4
SNORA61	1	4	5	1	6	0
SNORA44	0	0	0	0	0	0
SNORA16A	0	0	0	3	0	4
RAB42	0	3	0	2	0	1
TAF12	9	29	24	9	29	5
RNU11	6	0	1	0	1	0
GMEB1	44	29	28	50	26	63
YTHDF2	104	62	64	111	58	142
OPRD1	1	1	1	0	1	0
EPB41	3360	2658	4035	2134	4179	1944
SRSF4	598	479	503	589	487	643
MECR	3	0	0	3	0	7
PTPRU	0	0	0	0	0	0
LOC101928460	1	1	1	0	1	0
MATN1	1	0	0	5	0	14
MATN1-AS1	0	0	0	0	0	2
LAPTM5	14050	6418	11045	8565	10549	9682
MIR4420	20	10	9	27	7	40
SDC3	1	4	2	2	2	2
PUM1	927	956	975	899	985	876
NKAIN1	49	25	73	15	79	12
SNRNP40	15	35	34	13	40	8
ZCCHC17	320	184	378	150	390	138
FABP3	3	0	0	5	0	12
SERINC2	1	0	0	1	0	1
LINC01225	1	4	4	0	5	0
LINC01226	0	0	0	0	0	0
TINAGL1	0	0	0	0	0	0
HCRTR1	3	0	1	2	1	4
PEF1	30	36	59	16	66	11
COL16A1	2	3	1	4	1	4
ADGRB2	1	0	0	0	0	0
SPOCD1	1	1	1	0	1	0
PTP4A2	2595	1308	2349	1475	2305	1552
KHDRBS1	190	115	171	130	168	138
TMEM39B	78	72	106	50	112	43
MIR5585	0	0	0	0	0	1
KPNA6	3189	3085	3929	2403	4088	2160
TXLNA	644	974	1063	534	1170	414
CCDC28B	31	287	52	159	57	123
IQCC	1	0	0	0	0	1
DCDC2B	0	0	0	0	0	0
TMEM234	14	5	6	16	5	25
EIF3I	892	431	976	387	993	369
MTMR9LP	0	1	0	0	0	0
LCK	34	61	26	82	25	93
HDAC1	241	162	284	133	293	123
MARCKSL1	29	19	23	24	22	27
FAM229A	0	1	0	1	0	1
TSSK3	0	2	0	0	0	0
BSDC1	2442	3746	2987	2942	3104	2655
ZBTB8B	1	1	2	1	2	0
ZBTB8A	215	386	136	664	125	837
ZBTB8OS	12	14	19	8	20	7
RBBP4	2303	1577	2358	1532	2369	1514
KIAA1522	27	14	6	87	4	186
YARS	309	258	287	281	283	291
S100PBP	2414	1776	2301	1880	2281	1927
FNDC5	0	8	0	1	0	0
TMEM54	0	0	0	1	0	2
RNF19B	430	47	113	235	88	463
AK2	3639	2428	3437	2600	3400	2677
AZIN2	0	2	0	0	0	0
TRIM62	0	0	0	2	0	4
ZNF362	121	74	77	127	71	159
PHC2	4	9	4	10	4	11
LOC101929464	0	1	0	0	0	0
ZSCAN20	0	2	1	2	1	2
HMGB4	1	1	1	0	1	0
C1orf94	1	1	1	0	1	0
GJB5	0	0	0	0	0	0
GJB4	0	0	0	0	0	1
GJA4	0	0	0	0	0	1
SMIM12	97	150	86	172	84	183
DLGAP3	0	0	0	2	0	3
LOC653160	0	0	0	0	0	0
ZMYM6NB	247	121	327	86	345	75
ZMYM6	1503	1186	1945	871	2043	763
ZMYM1	38	15	37	16	36	16
SFPQ	1588	894	915	1732	823	2295
ZMYM4	1031	498	866	614	838	671
KIAA0319L	50	93	54	84	55	80
NCDN	107	152	80	216	75	251
TFAP2E	0	2	0	2	0	2
PSMB2	687	387	767	339	783	320
C1orf216	0	0	0	0	0	1
CLSPN	203	4	56	23	44	46
AGO4	61	48	21	172	17	296
AGO1	776	841	1195	501	1298	402
AGO3	117	74	128	67	130	64
TEKT2	0	0	0	0	0	0
ADPRHL2	5	3	1	12	1	22
COL8A2	23	6	9	17	8	27
TRAPPC3	332	240	318	253	315	259
MAP7D1	27	38	17	66	15	84
THRAP3	3515	2046	3861	1828	3931	1742
SH3D21	0	1	0	1	0	0
EVA1B	1	2	0	5	0	7
STK40	23	69	26	60	26	56
LSM10	28	61	47	33	52	25
OSCP1	4	14	5	11	5	10
MRPS15	14	8	24	4	26	3
CSF3R	1036	62501	2465	22114	2909	14218
GRIK3	1	2	2	1	3	0
MIR4255	1	1	1	0	1	0
LINC01137	2	34	9	8	12	4
ZC3H12A	0	0	0	1	0	1
MIR6732	0	0	0	0	0	0
MEAF6	410	206	205	474	179	675
MIR5581	0	0	0	0	0	0
SNIP1	14	13	8	24	8	30
DNALI1	0	0	0	0	0	0
GNL2	409	304	610	188	658	153
C1orf109	39	8	38	8	37	8
CDCA8	15	0	1	1	1	3
EPHA10	1	5	1	3	2	2
MANEAL	72	120	40	239	36	320
YRDC	7	0	1	3	0	7
C1orf122	18	0	3	7	2	18
MTF1	1269	1264	1313	1213	1322	1192
INPP5B	362	439	523	282	561	234
SF3A3	335	292	385	248	395	231
FHL3	5	16	7	12	7	10
UTP11L	48	39	77	22	84	17
POU3F1	0	0	0	1	0	2
RRAGC	1023	412	728	620	683	737
GJA9-MYCBP	1	7	3	2	4	1
RHBDL2	0	1	0	1	0	1
AKIRIN1	535	96	207	301	173	489
NDUFS5	374	708	516	482	548	409
MACF1	4061	4659	5247	3426	5510	3007
KIAA0754	21	45	48	16	56	11
BMP8A	0	6	1	2	1	1
PPIEL	13	47	18	32	19	27
PABPC4	175	52	93	111	82	154
LOC101929516	14	2	7	6	6	9
SNORA55	1	0	0	0	0	0
HEYL	2	3	0	10	0	15
HPCAL4	0	1	0	0	0	0
PPIE	22	55	53	19	63	12
BMP8B	0	0	0	0	0	0
OXCT2	30	5	6	34	5	71
TRIT1	1	0	1	1	1	2
MYCL	1	0	0	0	0	0
MFSD2A	0	0	0	0	0	0
CAP1	4280	2829	4659	2555	4735	2447
PPT1	1699	921	1747	890	1756	878
RLF	1500	1834	1475	1871	1470	1888
ZMPSTE24	237	170	197	212	190	233
COL9A2	0	1	0	12	0	27
SMAP2	1694	3283	1068	5707	978	7219
ZFP69B	0	0	0	0	0	0
ZFP69	0	0	0	0	0	1
EXO5	96	72	79	91	76	100
ZNF684	5	15	16	4	20	2
RIMS3	0	0	0	0	0	1
NFYC-AS1	0	1	0	0	0	0
NFYC	169	143	142	177	137	193
KCNQ4	0	2	0	0	0	0
CITED4	0	6	0	9	0	10
CTPS1	83	66	117	43	125	36
SLFNL1-AS1	0	0	0	0	0	1
SLFNL1	0	1	0	1	0	1
SCMH1	458	807	629	552	668	469
FOXO6	0	0	0	0	0	0
HIVEP3	88	121	51	231	46	304
GUCA2A	1	1	1	1	1	1
FOXJ3	473	313	320	500	297	611
RIMKLA	0	0	0	0	0	0
ZMYND12	1	0	0	0	0	2
PPCS	20	12	22	10	23	10
CCDC30	0	0	0	1	0	1
PPIH	3	4	8	1	9	0
YBX1	2881	898	4692	500	5149	390
CLDN19	0	0	0	3	0	5
P3H1	46	76	35	105	33	121
C1orf50	0	0	0	1	0	3
LOC100129924	11	4	10	4	10	4
SVBP	26	13	33	9	35	8
ERMAP	58	38	35	70	32	90
ZNF691	3	7	7	2	8	1
LOC339539	1	1	1	0	1	0
SLC2A1	1754	940	2052	778	2114	719
SLC2A1-AS1	1	2	3	1	3	0
EBNA1BP2	53	52	142	15	172	9
CFAP57	3	40	7	19	8	13
TIE1	14	8	3	40	2	76
MPL	1	5	5	1	5	1
CDC20	0	0	0	0	0	0
ELOVL1	2011	2180	2788	1473	2967	1247
MED8	283	179	179	309	164	390
SZT2	559	1187	714	885	748	781
PTPRF	0	12	1	5	2	3
KDM4A	327	270	298	303	293	317
KDM4A-AS1	5	16	7	11	8	9
ST3GAL3	27	71	14	146	13	198
LOC101929592	0	0	0	0	0	0
MIR6079	0	0	0	0	0	1
ARTN	0	0	0	0	0	0
IPO13	1	1	0	2	0	3
DPH2	2	1	1	4	1	5
ATP6V0B	33	36	52	21	56	16
B4GALT2	13	1	14	1	14	1
CCDC24	5	1	2	5	1	8
SLC6A9	12	0	14	0	14	0
DMAP1	391	946	387	957	386	962
ERI3	69	31	72	30	73	29
ERI3-IT1	0	1	0	1	0	1
RNF220	192	120	190	122	189	123
MIR5584	0	0	0	0	0	0
TMEM53	0	0	0	0	0	0
C1orf228	435	589	338	797	322	906
KIF2C	12	13	38	3	47	1
RPS8	2203	841	2388	764	2425	733
SNORD55	0	0	0	1	0	2
SNORD46	0	0	0	2	0	3
SNORD38A	0	0	0	0	0	0
SNORD38B	0	1	0	0	0	0
BEST4	0	0	0	1	0	2
PLK3	33	53	9	242	7	460
TCTEX1D4	1	0	0	3	0	8
BTBD19	1	0	0	3	0	9
PTCH2	2	13	3	11	3	11
EIF2B3	67	136	83	105	87	94
HECTD3	705	621	477	991	443	1209
UROD	502	940	1056	385	1217	263
ZSWIM5	0	0	0	0	0	0
LINC01144	5	2	2	6	2	9
HPDL	2	0	0	0	0	2
MUTYH	5	26	11	10	13	7
TOE1	885	382	292	1445	236	2541
TESK2	21	42	36	22	41	16
CCDC163P	4	0	1	1	1	3
MMACHC	4	4	4	4	4	3
PRDX1	735	333	963	241	1013	210
AKR1A1	14	16	20	11	21	9
NASP	3186	787	2900	881	2848	924
CCDC17	19	162	36	76	41	55
GPBP1L1	3380	3040	3764	2671	3843	2528
RPS15AP10	0	16	3	3	4	1
TMEM69	46	25	68	15	73	12
IPP	12	2	8	3	8	4
MAST2	324	66	84	333	65	660
PIK3R3	2	0	0	0	0	0
LOC101929626	0	0	0	0	0	0
TSPAN1	0	0	0	1	0	2
POMGNT1	2	6	2	8	2	9
LURAP1	0	0	0	1	0	1
RAD54L	27	65	64	23	76	15
LRRC41	1325	1038	1080	1328	1038	1474
UQCRH	727	286	781	263	792	253
NSUN4	88	90	126	59	135	49
FAAH	62	27	31	61	27	86
FAAHP1	0	0	1	0	1	0
LINC01398	0	1	0	0	0	0
DMBX1	1	1	1	0	1	0
MKNK1-AS1	0	0	0	1	0	2
MKNK1	396	679	407	656	409	647
MOB3C	11	25	9	30	9	33
ATPAF1	17	7	7	20	6	30
TEX38	0	0	0	0	0	0
EFCAB14-AS1	0	2	0	0	0	0
EFCAB14	2205	1289	1984	1463	1945	1544
CYP4A11	0	0	0	0	0	0
CYP4Z1	1	1	1	0	1	0
LINC00853	1	4	5	1	6	0
PDZK1IP1	6	8	18	2	22	1
TAL1	3	15	30	1	44	0
STIL	264	1	58	11	44	25
CMPK1	46	33	33	48	31	57
LINC01389	1	7	2	3	2	2
FOXD2-AS1	401	82	145	278	119	468
FOXD2	0	0	0	0	0	1
SKINTL	0	3	0	0	0	0
SLC5A9	0	0	0	1	0	2
SPATA6	0	0	1	0	2	0
AGBL4	2	0	1	0	1	0
BEND5	231	183	226	188	225	190
FAF1	138	85	92	138	85	169
CDKN2C	5	0	1	0	0	2
RNF11	179	67	78	180	67	274
TTC39A	61	23	28	60	24	89
EPS15	2520	756	1529	1377	1390	1776
OSBPL9	775	565	731	606	723	624
NRD1	1104	1289	1314	1047	1358	958
RAB3B	0	0	0	0	0	1
TXNDC12	595	141	362	257	329	331
TXNDC12-AS1	2	2	3	1	3	1
BTF3L4	1231	321	989	418	949	468
ZFYVE9	1	0	0	1	0	2
CC2D1B	152	509	264	263	293	198
ORC1	26	0	9	4	7	7
PRPF38A	3926	2409	3383	2879	3288	3106
ZCCHC11	870	922	973	807	994	762
GPX7	33	9	38	7	39	7
FAM159A	68	84	49	124	46	147
COA7	20	3	15	5	14	6
ZYG11B	100	53	76	73	72	84
ZYG11A	13	7	12	8	11	9
ECHDC2	13	28	6	66	5	95
SCP2	91	26	111	20	115	18
MIR5095	5	8	4	10	4	10
CPT2	428	541	426	543	426	545
C1orf123	433	184	430	185	430	186
MAGOH	4	2	3	3	3	4
LOC100507564	1	0	0	0	0	0
LRP8	7	10	5	14	5	16
LOC105378732	0	1	0	0	0	0
NDC1	538	301	925	157	1026	119
YIPF1	1	0	0	2	0	5
DIO1	0	0	0	0	0	0
HSPB11	5	6	11	2	12	2
LRRC42	0	0	0	1	0	1
TMEM59	1999	1234	2500	943	2609	842
TCEANC2	4	5	7	2	8	1
MIR4781	0	0	0	0	0	0
CYB5RL	1	0	0	1	0	2
MRPL37	24	18	56	6	66	4
SSBP3	65	38	54	48	52	53
SSBP3-AS1	4	73	28	7	40	2
ACOT11	0	2	0	2	0	1
TTC4	0	0	0	1	0	2
PARS2	0	1	0	1	0	1
TTC22	0	3	0	0	1	0
C1orf177	0	0	0	0	0	0
DHCR24	7	1	6	1	6	1
USP24	1791	1851	2050	1574	2104	1469
LOC100507634	0	0	0	1	0	2
PPAP2B	11	31	5	67	5	92
C8A	1	1	1	0	1	0
DAB1	1	0	0	0	0	0
OMA1	504	195	338	315	313	386
TACSTD2	0	3	2	0	2	0
MYSM1	891	744	921	715	927	703
JUN	2567	45	94	2416	50	12984
LINC01135	1	0	0	0	0	0
LINC01358	0	0	0	0	0	0
FGGY	0	0	0	0	0	0
HOOK1	3	0	2	0	2	0
CYP2J2	1	1	1	0	1	0
C1orf87	3	4	5	1	6	1
NFIA-AS2	12	22	24	9	27	6
NFIA	18	14	43	4	50	3
TM2D1	47	104	90	48	102	35
INADL	277	6402	346	4913	360	4390
L1TD1	23	149	42	74	47	55
KANK4	1	1	1	0	1	0
USP1	434	95	279	163	256	204
DOCK7	149	113	68	285	59	422
ANGPTL3	1	4	2	3	2	3
ATG4C	16	2	9	6	8	8
LINC00466	1	1	1	0	1	0
ALG6	336	98	220	163	203	203
ITGB3BP	5	5	7	3	8	3
